# Time, Flux
1.981696160210776725e+03 1.006105870706045735e+00
1.981716592439290253e+03 1.006204213687387217e+00
1.981737024567330081e+03 1.006139314625340564e+00
1.981757456594910764e+03 1.006127828344436814e+00
1.981777888822027307e+03 1.006287316633009521e+00
1.981798320948670153e+03 1.006260917834539859e+00
1.981818752974853851e+03 1.006158138739892571e+00
1.981839185201039072e+03 1.006104259741357421e+00
1.981859617326284933e+03 1.006203523845751180e+00
1.981880049451538071e+03 1.006189338759577279e+00
1.981900481575859885e+03 1.006108433248450007e+00
1.981920913700174424e+03 1.006132383317943635e+00
1.981941345924031339e+03 1.006071264636789975e+00
1.981961777947421069e+03 1.006068162785800801e+00
1.981982210070338624e+03 1.006047826379670385e+00
1.982002642292798555e+03 1.006016650723716488e+00
1.982023074414792063e+03 1.006080009997974312e+00
1.982043506436311873e+03 1.005947371410918390e+00
1.982063938657840481e+03 1.005901953936103377e+00
1.982084370778437005e+03 1.005902140840724046e+00
1.982104802799025492e+03 1.005912736453238976e+00
1.982125235018691455e+03 1.005968524176058754e+00
1.982145667038355896e+03 1.006194527364112634e+00
1.982166099157548160e+03 1.005741797037145835e+00
1.982186531376282801e+03 1.005927248709512778e+00
1.982206963394550257e+03 1.005751012618335327e+00
1.982227395512345538e+03 1.005983863929047706e+00
1.982247827729683195e+03 1.005727982801760678e+00
1.982268259746553667e+03 1.006186490117362275e+00
1.982288691863417625e+03 1.006052710263543482e+00
1.982309124079358298e+03 1.005861329851303720e+00
1.982329556095297448e+03 1.005560195530357914e+00
1.982349988210298761e+03 1.005667652113272803e+00
1.982370420425308112e+03 1.005640921097930462e+00
1.982390852539851039e+03 1.005709547114688851e+00
1.982411284653921030e+03 1.005694940535971416e+00
1.982431716767532635e+03 1.005763575428088696e+00
1.982452148880678578e+03 1.005668479261934811e+00
1.982472580993351585e+03 1.005748430584946451e+00
1.982493013106031867e+03 1.005843604192959262e+00
1.982513445217780827e+03 1.005855023995682940e+00
1.982533877429523272e+03 1.005772162425022653e+00
1.982554309440340148e+03 1.005782178354770240e+00
1.982574741551157786e+03 1.005804697577157292e+00
1.982595173761503247e+03 1.005949615658581875e+00
1.982615605771388800e+03 1.005844540456330094e+00
1.982636037880809454e+03 1.005868282389951851e+00
1.982656470089757931e+03 1.005827488629169597e+00
1.982676902098246501e+03 1.005986256273389445e+00
1.982697334206735832e+03 1.005610614357034249e+00
1.982717766414287325e+03 1.005885517641200044e+00
1.982738198421844572e+03 1.005803928205342590e+00
1.982758630528471258e+03 1.005781608069441946e+00
1.982779062735091429e+03 1.005662564096140521e+00
1.982799494741251692e+03 1.005828248603545250e+00
1.982819926846947055e+03 1.005786497000087820e+00
1.982840359052170243e+03 1.005749842637175151e+00
1.982860791156934283e+03 1.005854365826897023e+00
1.982881223261225387e+03 1.005915845961400601e+00
1.982901655365523766e+03 1.005674536433474486e+00
1.982922087368890061e+03 1.005759933224354974e+00
1.982942519572257879e+03 1.005565823552181604e+00
1.982983383677121310e+03 1.005468962581781645e+00
1.983003815879084868e+03 1.005578411943852446e+00
1.983024247980589280e+03 1.005573480898757310e+00
1.983044679982092930e+03 1.005448540554539916e+00
1.983065112182666780e+03 1.005560445432625682e+00
1.983085544282766932e+03 1.005405471395324213e+00
1.983105976282873598e+03 1.005359132449403337e+00
1.983126408482043189e+03 1.005250549217963973e+00
1.983146840581219294e+03 1.005408198392911512e+00
1.983167272579928976e+03 1.005384197159582937e+00
1.983187704778174520e+03 1.005237379577285983e+00
1.983208136875946366e+03 1.005252731338113881e+00
1.983228568973259826e+03 1.005329347092347225e+00
1.983249001070100348e+03 1.005305448186688100e+00
1.983269433166482486e+03 1.005496283199410312e+00
1.983289865262864623e+03 1.005209744667529659e+00
1.983310297358315438e+03 1.005279104206612706e+00
1.983330729453758977e+03 1.005133408922174176e+00
1.983351161648744892e+03 1.005279386303810529e+00
1.983371593743257108e+03 1.005184515850220173e+00
1.983392025737310178e+03 1.005175941557231667e+00
1.983412457930899109e+03 1.005221962034384964e+00
1.983473754209328035e+03 1.005847824513220301e+00
1.983494186301511945e+03 1.006018314244452760e+00
1.983514618293236708e+03 1.005778978526777889e+00
1.983535050484031672e+03 1.006045087026190776e+00
1.983555482574818598e+03 1.005741481700858087e+00
1.983575914565146377e+03 1.005631552373289939e+00
1.983596346755475679e+03 1.005872950480780403e+00
1.983616778844865621e+03 1.005772012065998089e+00
1.983637210833796416e+03 1.005739157574962794e+00
1.983657643022728735e+03 1.005796923284673294e+00
1.983678075011193869e+03 1.005666019221226781e+00
1.983698507198721927e+03 1.005837975997109002e+00
1.983718939286256500e+03 1.005659856241484462e+00
1.983739371273317374e+03 1.005749995432572819e+00
1.983759803360386286e+03 1.005432702737282025e+00
1.983780235546524636e+03 1.005448792545127423e+00
1.983800667632189288e+03 1.005540782509626307e+00
1.983821099717861216e+03 1.005579153297376349e+00
1.983841531803067483e+03 1.005536881702292273e+00
1.983861963887335151e+03 1.005437077767233900e+00
1.983882396071610856e+03 1.005460884612795702e+00
1.983902828055419377e+03 1.005413184430427487e+00
