# Time, Xc, Yc
1.981410110367396555e+03 1.563916810636090702e+02 1.089039102767690110e+03
1.981430542501962918e+03 1.563837248246896934e+02 1.089036999610206067e+03
1.981450974635590683e+03 1.563775652271167473e+02 1.089047223942204255e+03
1.981471406869226485e+03 1.563772427328162280e+02 1.089039379629659607e+03
1.981491838902395102e+03 1.565633416601121439e+02 1.089042793633466545e+03
1.981512271035557205e+03 1.565977518850481545e+02 1.089045610789587954e+03
1.981593999662174610e+03 1.565916384488178892e+02 1.089055279346716134e+03
1.981614431792542746e+03 1.565791990849082822e+02 1.089044561493876017e+03
1.981634863822917396e+03 1.565724515659493079e+02 1.089045308680233120e+03
1.981655296052362246e+03 1.565833762374989817e+02 1.089051688462172706e+03
1.981675728181799059e+03 1.565765241835435404e+02 1.089045939526516122e+03
1.981696160210776725e+03 1.565789960495700370e+02 1.089045524232711159e+03
1.981716592439290253e+03 1.565793527953721593e+02 1.089048575130739664e+03
1.981737024567330081e+03 1.565822945800255184e+02 1.089055112198022698e+03
1.981757456594910764e+03 1.565678414595095660e+02 1.089047645294423774e+03
1.981777888822027307e+03 1.565653932063617333e+02 1.089045709092904644e+03
1.981798320948670153e+03 1.565652602624709857e+02 1.089044350294913102e+03
1.981818752974853851e+03 1.565654516390948743e+02 1.089044017916650773e+03
1.981839185201039072e+03 1.565756012940121309e+02 1.089058015025559143e+03
1.981859617326284933e+03 1.565677278857854162e+02 1.089050651897954822e+03
1.981880049451538071e+03 1.565648142617522467e+02 1.089045103787050948e+03
1.981900481575859885e+03 1.565655304640299903e+02 1.089056116367783488e+03
1.981920913700174424e+03 1.565627314275833726e+02 1.089051008558777539e+03
1.981941345924031339e+03 1.565575880030681049e+02 1.089045070275136368e+03
1.981961777947421069e+03 1.565445602254494872e+02 1.089047345465842682e+03
1.981982210070338624e+03 1.565555186345030734e+02 1.089052529647397023e+03
1.982002642292798555e+03 1.565446672957995986e+02 1.089048840831552980e+03
1.982023074414792063e+03 1.565473011389098588e+02 1.089055499150112610e+03
1.982043506436311873e+03 1.565486735839445487e+02 1.089053341666591905e+03
1.982063938657840481e+03 1.565452656876901187e+02 1.089047301551415558e+03
1.982084370778437005e+03 1.565359325873372143e+02 1.089049229457433512e+03
1.982104802799025492e+03 1.565246447223432540e+02 1.089045101365532901e+03
1.982125235018691455e+03 1.565203687535592394e+02 1.089045715868160869e+03
1.982145667038355896e+03 1.565164317735021200e+02 1.089043651587341856e+03
1.982166099157548160e+03 1.565157335802045395e+02 1.089052006845180131e+03
1.982186531376282801e+03 1.565093448808441963e+02 1.089051639586211877e+03
1.982206963394550257e+03 1.565140825456419975e+02 1.089048965334620334e+03
1.982227395512345538e+03 1.565065219035163580e+02 1.089042405710111098e+03
1.982247827729683195e+03 1.565002668495582725e+02 1.089050893403636110e+03
1.982268259746553667e+03 1.564944601365336041e+02 1.089051746195191527e+03
1.982288691863417625e+03 1.564867672112664820e+02 1.089043257363837029e+03
1.982309124079358298e+03 1.564906686683389978e+02 1.089050443674633016e+03
1.982329556095297448e+03 1.564892814724061338e+02 1.089064239448204489e+03
1.982349988210298761e+03 1.564837316286052555e+02 1.089053195431913991e+03
1.982370420425308112e+03 1.564801420674290284e+02 1.089051557067274416e+03
1.982390852539851039e+03 1.564732607791749786e+02 1.089040753598046877e+03
1.982411284653921030e+03 1.564760167238675592e+02 1.089045194973853995e+03
1.982431716767532635e+03 1.564766847228841300e+02 1.089047303808438528e+03
1.982452148880678578e+03 1.564759997296977190e+02 1.089046187435493266e+03
1.982472580993351585e+03 1.564735820776768378e+02 1.089053723449768995e+03
1.982493013106031867e+03 1.564886510010011023e+02 1.089052386678560197e+03
1.982513445217780827e+03 1.564772624967514787e+02 1.089055460777188273e+03
1.982533877429523272e+03 1.564834350139364858e+02 1.089048788557573062e+03
1.982554309440340148e+03 1.564763242511842805e+02 1.089042970406739187e+03
1.982574741551157786e+03 1.564786741476152940e+02 1.089042086652326816e+03
1.982595173761503247e+03 1.564881852573565482e+02 1.089051257859700854e+03
1.982615605771388800e+03 1.564805451009084152e+02 1.089053217058122755e+03
1.982636037880809454e+03 1.564889322894367751e+02 1.089051621782009761e+03
1.982656470089757931e+03 1.564845498290668218e+02 1.089052011303789413e+03
1.982676902098246501e+03 1.564841667746537439e+02 1.089047368326506557e+03
1.982697334206735832e+03 1.564791617883526555e+02 1.089049240463836668e+03
1.982717766414287325e+03 1.564831293562481562e+02 1.089046290022394714e+03
1.982738198421844572e+03 1.564801448151998216e+02 1.089051197255619854e+03
1.982758630528471258e+03 1.564785776006004596e+02 1.089049180089205947e+03
1.982779062735091429e+03 1.564732661907022759e+02 1.089051684540795577e+03
1.982799494741251692e+03 1.564709599527417936e+02 1.089045264848608895e+03
1.982819926846947055e+03 1.564695787549271131e+02 1.089046090711258557e+03
1.982840359052170243e+03 1.564666097375042568e+02 1.089053438359395841e+03
1.982860791156934283e+03 1.564721326173995521e+02 1.089049305102478911e+03
1.982881223261225387e+03 1.564675217499085420e+02 1.089047590290460676e+03
1.982901655365523766e+03 1.564524254686616302e+02 1.089045921374490263e+03
1.982922087368890061e+03 1.564535201862352380e+02 1.089046278896164722e+03
1.982942519572257879e+03 1.564474636859008001e+02 1.089049634564083362e+03
1.982983383677121310e+03 1.564361030234746295e+02 1.089042339436518432e+03
